,bigairspace,airspace,block,wkt,lowerlevel,upperlevel
0,Airspace_LEABTMA_411,Airspace_LEABTA_411,Airblock_LEABTA_249LE,"POLYGON ((-2.99166666666667 39, -2.99166666666667 39.4055555555556, -1.39444444444444 39.4055555555556, -1.39444444444444 39, -2.99166666666667 39))",0.0,7467.6
1,Airspace_LETOT_411,Airspace_LEABTA_411,Airblock_LEABTA_249LE,"POLYGON ((-2.99166666666667 39, -2.99166666666667 39.4055555555556, -1.39444444444444 39.4055555555556, -1.39444444444444 39, -2.99166666666667 39))",0.0,7467.6
2,Airspace_LEAMTMA_411,Airspace_LEAMTA_411,Airblock_LEAMTA_650LE,"POLYGON ((-2.84083333333333 36.4166666666667, -2.84083333333333 37.2997222222222, -1.77222222222222 37.2997222222222, -1.77222222222222 36.4166666666667, -2.84083333333333 36.4166666666667))",0.0,4419.6
3,Airspace_LETOT_411,Airspace_LEAMTA_411,Airblock_LEAMTA_650LE,"POLYGON ((-2.84083333333333 36.4166666666667, -2.84083333333333 37.2997222222222, -1.77222222222222 37.2997222222222, -1.77222222222222 36.4166666666667, -2.84083333333333 36.4166666666667))",0.0,4419.6
4,Airspace_LEAMTMA_411,Airspace_LEAMTA_411,Airblock_LEAMTA_651LE,"POLYGON ((-1.83333333333333 36.85, -1.83333333333333 37.09, -1.67416666666667 37.09, -1.67416666666667 36.85, -1.83333333333333 36.85))",0.0,4419.6
5,Airspace_LETOT_411,Airspace_LEAMTA_411,Airblock_LEAMTA_651LE,"POLYGON ((-1.83333333333333 36.85, -1.83333333333333 37.09, -1.67416666666667 37.09, -1.67416666666667 36.85, -1.83333333333333 36.85))",0.0,4419.6
6,Airspace_LEAMTMA_411,Airspace_LEAMTA_411,Airblock_LEAMTA_652LE,"POLYGON ((-1.86111111111111 36.7138888888889, -1.86111111111111 36.85, -1.67416666666667 36.85, -1.67416666666667 36.7138888888889, -1.86111111111111 36.7138888888889))",0.0,4419.6
7,Airspace_LETOT_411,Airspace_LEAMTA_411,Airblock_LEAMTA_652LE,"POLYGON ((-1.86111111111111 36.7138888888889, -1.86111111111111 36.85, -1.67416666666667 36.85, -1.67416666666667 36.7138888888889, -1.86111111111111 36.7138888888889))",0.0,4419.6
9,Airspace_LETOT_411,Airspace_LEAMTA_411,Airblock_LEAMTA_653LE,"POLYGON ((-1.92361111111111 36.4530555555556, -1.92361111111111 36.7761111111111, -1.69944444444444 36.7761111111111, -1.69944444444444 36.4530555555556, -1.92361111111111 36.4530555555556))",0.0,4419.6
8,Airspace_LEAMTMA_411,Airspace_LEAMTA_411,Airblock_LEAMTA_653LE,"POLYGON ((-1.92361111111111 36.4530555555556, -1.92361111111111 36.7761111111111, -1.69944444444444 36.7761111111111, -1.69944444444444 36.4530555555556, -1.92361111111111 36.4530555555556))",0.0,4419.6
10,Airspace_LEASTMA_411,Airspace_LEASTA_411,Airblock_LEASTA_210LE,"POLYGON ((-6.68972222222222 43.4302777777778, -6.68972222222222 44.0327777777778, -6.14805555555556 44.0327777777778, -6.14805555555556 43.4302777777778, -6.68972222222222 43.4302777777778))",0.0,4724.400000000001
11,Airspace_LETOT_411,Airspace_LEASTA_411,Airblock_LEASTA_210LE,"POLYGON ((-6.68972222222222 43.4302777777778, -6.68972222222222 44.0327777777778, -6.14805555555556 44.0327777777778, -6.14805555555556 43.4302777777778, -6.68972222222222 43.4302777777778))",0.0,4724.400000000001
12,Airspace_LEASTMA_411,Airspace_LEASTA_411,Airblock_LEASTA_221LE,"POLYGON ((-6.67111111111111 43.05, -6.67111111111111 44.0544444444444, -5.31027777777778 44.0544444444444, -5.31027777777778 43.05, -6.67111111111111 43.05))",0.0,4724.400000000001
13,Airspace_LETOT_411,Airspace_LEASTA_411,Airblock_LEASTA_221LE,"POLYGON ((-6.67111111111111 43.05, -6.67111111111111 44.0544444444444, -5.31027777777778 44.0544444444444, -5.31027777777778 43.05, -6.67111111111111 43.05))",0.0,4724.400000000001
